timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Filename,Latency,Encoding,SampleCount,ErrorCount,Hostname,IdleTime,Connect
1657982606533,3619,-311,200,,AddProductWithoutRegistr 1-1,text,true,,4911,428,2,6,https://advantageonlineshopping.com/catalog/api/v1/categories,,3619,ISO-8859-1,1,0,Bot0FF,0,410
1657982601876,11708,-321,200,,AddProductWithoutRegistr 1-2,text,true,,984,439,2,6,https://advantageonlineshopping.com/catalog/api/v1/categories/attributes,,11708,ISO-8859-1,1,0,Bot0FF,0,395
1657982619384,600,-322,200,,AddProductWithoutRegistr 1-2,text,true,,1154,407,2,6,https://advantageonlineshopping.com/app/views/category-page.html,,600,ISO-8859-1,1,0,Bot0FF,0,397
1657982619623,561,-64,200,,LogInAndChooseProduct 2-2,text,true,,2691,411,2,6,https://www.advantageonlineshopping.com/app/views/home-page.html,,561,ISO-8859-1,1,0,Bot0FF,0,361
1657982518523,10461,open_advantage,200,"Number of samples in transaction : 8, number of failing samples : 0",LogInAndChooseProduct 2-2,,true,,22533,4126,2,6,null,,10461,ISO-8859-1,1,0,Bot0FF,91201,3454
1657982615952,4318,-312,200,,AddProductWithoutRegistr 1-1,text,true,,783,448,2,6,https://advantageonlineshopping.com/catalog/api/v1/deals/search?dealOfTheDay=true,,4318,ISO-8859-1,1,0,Bot0FF,0,390
1657982608754,16925,-375,200,,RegisterAndRemoveAccount 3-2,text,true,,1150,1373,2,6,https://advantageonlineshopping.com/accountservice/ws/AccountCreateRequest,,16925,utf-8,1,0,Bot0FF,0,389
1657982625787,804,-325,200,,AddProductWithoutRegistr 1-2,bin,true,,36874,430,2,6,https://advantageonlineshopping.com/catalog/fetchImage?image_id=3100,,797,ISO-8859-1,1,0,Bot0FF,0,396
1657982626071,602,-313,200,,AddProductWithoutRegistr 1-1,text,true,,965,437,2,6,https://advantageonlineshopping.com/app/tempFiles/popularProducts.json,,601,ISO-8859-1,1,0,Bot0FF,0,393
1657982632474,614,-314,200,,AddProductWithoutRegistr 1-1,text,true,,2691,403,2,6,https://advantageonlineshopping.com/app/views/home-page.html,,614,ISO-8859-1,1,0,Bot0FF,0,376
1657982574584,12098,open_advantage,200,"Number of samples in transaction : 8, number of failing samples : 0",AddProductWithoutRegistr 1-1,,true,,22536,4062,2,6,null,,12095,ISO-8859-1,1,0,Bot0FF,46407,3112
1657982632392,955,-326,200,,AddProductWithoutRegistr 1-2,bin,true,,45835,430,2,6,https://advantageonlineshopping.com/catalog/fetchImage?image_id=3200,,783,ISO-8859-1,1,0,Bot0FF,0,399
